=== Knee/Ankle Issue Frames ===
총 문제 프레임: 489

{'frame': 78, 'left_knee_score': 0.06471575051546097, 'right_knee_score': 0.05803343653678894, 'knee_gap': 88.4423735415982, 'left_ankle_score': 0.05685879662632942, 'right_ankle_score': 0.08102108538150787, 'ankle_gap': 138.5018552267456}
{'frame': 79, 'left_knee_score': 0.06344663351774216, 'right_knee_score': 0.059890396893024445, 'knee_gap': 86.45502326956938, 'left_ankle_score': 0.05359196662902832, 'right_ankle_score': 0.08142250776290894, 'ankle_gap': 136.67815808567838}
{'frame': 80, 'left_knee_score': 0.06659478694200516, 'right_knee_score': 0.060733452439308167, 'knee_gap': 85.47494940487493, 'left_ankle_score': 0.05338365584611893, 'right_ankle_score': 0.08284711837768555, 'ankle_gap': 139.190953683151}
{'frame': 81, 'left_knee_score': 0.06456105411052704, 'right_knee_score': 0.056106507778167725, 'knee_gap': 85.17364275091838, 'left_ankle_score': 0.05328908935189247, 'right_ankle_score': 0.08141165971755981, 'ankle_gap': 136.66172233170482}
{'frame': 82, 'left_knee_score': 0.06671933829784393, 'right_knee_score': 0.05360353738069534, 'knee_gap': 84.4368736559877, 'left_ankle_score': 0.05420587584376335, 'right_ankle_score': 0.08324523270130157, 'ankle_gap': 138.006439606054}
{'frame': 83, 'left_knee_score': 0.06623423099517822, 'right_knee_score': 0.05033503472805023, 'knee_gap': 84.03228528716389, 'left_ankle_score': 0.05284847319126129, 'right_ankle_score': 0.08077336847782135, 'ankle_gap': 140.15088725691692}
{'frame': 84, 'left_knee_score': 0.061921343207359314, 'right_knee_score': 0.049591366201639175, 'knee_gap': 86.09895512086058, 'left_ankle_score': 0.047555457800626755, 'right_ankle_score': 0.07868298888206482, 'ankle_gap': 141.78025715083677}
{'frame': 85, 'left_knee_score': 0.0586586520075798, 'right_knee_score': 0.04482392966747284, 'knee_gap': 89.49431040346606, 'left_ankle_score': 0.04029126092791557, 'right_ankle_score': 0.0715939849615097, 'ankle_gap': 145.25569869104368}
{'frame': 86, 'left_knee_score': 0.06546269357204437, 'right_knee_score': 0.04251176491379738, 'knee_gap': 97.27482992357798, 'left_ankle_score': 0.04856755584478378, 'right_ankle_score': 0.07556560635566711, 'ankle_gap': 158.88058944616108}
{'frame': 87, 'left_knee_score': 0.062361277639865875, 'right_knee_score': 0.04085475951433182, 'knee_gap': 144.14250526457786, 'left_ankle_score': 0.04368164762854576, 'right_ankle_score': 0.08101201802492142, 'ankle_gap': 160.65165421612159}
